cid,has_image
12982,True
12983,False
12984,True
12985,True
12986,True
12987,True
12988,True
12989,True
12990,False
12991,True
12992,True
12993,True
12994,True
12995,True
12996,True
12997,True
12998,True
12999,True
13000,True
13001,True
13002,True
13003,True
13004,True
13005,True
13006,True
13007,True
13008,True
13009,True
13010,True
13011,True
13012,True
13013,True
13014,True
13015,True
13016,False
13017,False
13018,False
13019,False
13020,False
13021,False
13022,True
13023,True
13024,True
13025,True
13026,True
13027,True
13028,True
13029,True
13030,True
13031,True
13032,True
13033,True
13034,True
13035,True
13036,True
13037,True
13038,False
13039,False
13040,False
13041,True
13042,False
13043,True
13044,True
13045,True
13046,True
13047,True
13048,False
13049,True
13050,True
13051,True
13052,True
13053,True
13054,True
13055,True
13056,True
13057,True
13058,True
13059,False
13060,False
13061,False
13062,False
13063,False
13064,True
13065,True
13066,True
13067,True
13068,True
13069,True
13070,True
13071,False
13072,False
13073,False
13074,False
13075,True
13076,True
13077,False
13078,True
13079,True
13080,True
13081,True
13082,True
13083,True
13084,False
13085,False
13086,False
13087,False
13088,False
13089,False
13121,True
13122,True
13123,True
13124,True
13125,True
13126,True
13127,True
13128,False
13129,True
13130,True
13131,True
13132,True
13133,True
13134,True
13135,True
13136,True
13137,False
13138,True
13139,True
13140,True
13141,True
13142,True
13143,True
13144,True
13145,False
13146,False
13147,False
13148,False
13149,False
13150,False
13151,True
13152,True
13153,True
13154,True
13155,True
13156,True
13157,True
13158,True
13159,True
13160,True
13161,True
13162,True
13163,True
13164,True
13165,True
13166,True
13167,True
13168,True
13169,True
13170,True
13171,True
13172,True
13173,True
13174,True
13175,True
13176,True
13177,True
13178,True
13179,True
13180,True
13181,True
13182,False
13183,False
13184,False
13185,False
13186,False
13187,True
13188,False
13189,False
13190,False
13191,True
13192,False
13193,False
13194,True
13195,True
13196,True
13197,True
13198,True
13199,True
13200,True
13201,True
13202,True
13203,True
13204,True
13205,True
13206,True
13207,True
13208,True
13209,True
13210,True
13211,True
13212,True
13213,True
13214,True
13215,True
13216,True
13217,True
13218,True
13219,True
13220,False
13221,False
13222,False
10000,False
10001,False
10002,False
10003,False
10004,False
10005,False
10006,False
10007,False
10008,False
10009,False
10010,False
10011,False
10012,False
10013,False
10014,False
10015,False
10016,False
10017,False
10018,False
10019,False
10020,False
10021,False
10022,False
10023,False
10024,False
10025,False
10026,False
10027,False
10028,False
10029,False
10030,False
10031,False
10032,False
10033,False
10034,False
10035,False
10036,False
10037,False
10038,False
10039,False
10040,False
10041,False
10042,False
10043,False
10044,False
10045,False
10046,False
10047,False
10048,False
10049,False
10050,False
10051,False
10052,False
10053,False
10054,False
10055,False
10056,False
10057,False
10058,False
10059,False
10060,False
10061,False
10062,False
10063,False
10064,False
10065,False
10066,False
10067,False
10068,False
10069,False
10070,False
10071,False
10072,False
10073,False
10074,False
10075,False
10076,False
10077,False
10078,False
10079,False
10080,False
10081,False
10082,False
10083,False
10084,False
10085,False
10086,False
10087,False
10088,False
10089,False
10090,False
10091,False
10092,False
10093,False
10094,False
10095,False
10096,False
10097,False
10098,False
10099,False
10100,False
10101,False
10102,False
10103,False
10104,False
10105,False
10106,False
10107,False
10108,False
10109,False
10110,False
10111,False
10112,False
10113,False
10114,False
10115,False
10116,False
10117,False
10118,False
10119,False
10120,False
10121,False
10122,False
10123,False
10124,False
10125,False
10126,False
10127,False
10128,False
10129,False
10130,False
10131,False
10132,False
10133,False
10134,False
10135,False
10136,False
10137,False
10138,False
10139,False
10140,False
10141,False
10142,False
10143,False
10144,False
10145,False
10146,False
10147,False
10148,False
10149,False
10150,False
10151,False
10152,False
10153,False
10154,False
10155,False
10156,False
10157,False
10158,False
10159,False
10160,False
10161,False
10162,False
10163,False
10164,False
10165,False
10166,False
10167,False
10168,False
10169,False
10170,False
10171,False
10172,False
10173,False
10174,False
10175,False
10176,False
10177,False
10178,False
10179,False
10180,False
10181,False
10182,False
10183,False
10184,False
10185,False
10186,False
10187,False
10188,False
10189,False
10190,False
10191,False
10192,False
10193,False
10194,False
10195,False
10196,False
10197,False
10198,False
10199,False
10200,False
10201,False
10202,False
10203,False
10204,False
10205,False
10206,False
10207,False
10208,False
10209,False
10210,False
10211,False
10212,False
10213,False
10214,False
10215,False
10216,False
10217,False
10218,False
10219,False
10220,False
10221,False
10222,False
10223,False
10224,False
10225,False
10226,False
10227,False
10228,False
10229,False
10230,False
10231,False
10232,False
10233,False
10234,False
10235,False
10236,False
10237,False
10238,False
10239,False
10240,False
10241,False
10242,False
10243,False
10244,False
10245,False
10246,False
10247,False
10248,False
10249,False
10250,False
10251,False
10252,False
10253,False
10254,False
10255,False
10256,False
10257,False
10258,False
10259,False
10260,False
10261,False
10262,False
10263,False
10264,False
10265,False
10266,False
10267,False
10268,False
10269,False
10270,False
10271,False
10272,False
10273,False
10274,False
10275,False
10276,False
10277,False
10278,False
10279,False
10280,False
10281,False
10282,False
10283,False
10284,False
10285,False
10286,False
10287,False
10288,False
10289,False
10290,False
10291,False
10292,False
10293,False
10294,False
10295,False
10296,False
10297,False
10298,False
10299,False
10300,False
10301,False
10302,False
10303,False
10304,False
10305,False
10306,False
10307,False
10308,False
10309,False
10310,False
10311,False
10312,False
10313,False
10314,False
10315,False
10316,False
10317,False
10318,False
10319,False
10320,False
10321,False
10322,False
10323,False
10324,False
10325,False
10326,False
10327,False
10328,False
10329,False
10330,False
10331,False
10332,False
10333,False
10334,False
10335,False
10336,False
10337,False
10338,False
10339,False
10340,False
10341,False
10342,False
10343,False
10344,False
10345,False
10346,False
10347,False
10348,False
10349,False
10350,False
10351,False
10352,False
10353,False
10354,False
10355,False
10356,False
10357,False
10358,False
10359,False
10360,False
10361,False
10362,False
10363,False
10364,False
10365,False
10366,False
10367,False
10368,False
10369,False
10370,False
10371,False
10372,False
10373,False
10374,False
10375,False
10376,False
10377,False
10378,False
10379,False
10380,False
10381,False
10382,False
10383,False
10384,False
10385,False
10386,False
10387,False
10388,False
10389,False
10390,False
10391,False
10392,False
10393,False
10394,False
10395,False
10396,False
10397,False
10398,False
10399,False
10400,False
10401,False
10402,False
10403,False
10404,False
10405,False
10406,False
10407,False
10408,False
10409,False
10410,False
10411,False
10412,False
10413,False
10414,False
10415,False
10416,False
10417,False
10418,False
10419,False
10420,False
10421,False
10422,False
10423,False
10424,False
10425,False
10426,False
10427,False
10428,False
10429,False
10430,False
10431,False
10432,False
10433,False
10434,False
10435,False
10436,False
10437,False
10438,False
10439,False
10440,False
10441,False
10442,False
10443,False
10444,False
10445,False
10446,False
10447,False
10448,False
10449,False
10450,False
10451,False
10452,False
10453,False
10454,False
10455,False
10456,False
10457,False
10458,False
10459,False
10460,False
10461,False
10462,False
10463,False
10464,False
10465,False
10466,False
10467,False
10468,False
10469,False
10470,False
10471,False
10472,False
10473,False
10474,False
10475,False
10476,False
10477,False
10478,False
10479,False
10480,False
10481,False
10482,False
10483,False
10484,False
10485,False
10486,False
10487,False
10488,False
10489,False
10490,False
10491,False
10492,False
10493,False
10494,False
10495,False
10496,False
10497,False
10498,False
10499,False
10500,False
10501,False
10502,False
10503,False
10504,False
10505,False
10506,False
10507,False
10508,False
10509,False
10510,False
10511,False
10512,False
10513,False
10514,False
10515,False
10516,False
10517,False
10518,False
10519,False
10520,False
10521,False
10522,False
10523,False
10524,False
10525,False
10526,False
10527,False
10528,False
10529,False
10530,False
10531,False
10532,False
10533,False
10534,False
10535,False
10536,False
10537,False
10538,False
10539,False
10540,False
10541,False
10542,False
10543,False
10544,False
10545,False
10546,False
10547,False
10548,False
10549,False
10550,False
10551,False
10552,False
10553,False
10554,False
10555,False
10556,False
10557,False
10558,False
10559,False
10560,False
10561,False
10562,False
10563,False
10564,False
10565,False
10566,False
10567,False
10568,False
10569,False
10570,False
10571,False
10572,False
10573,False
10574,False
10575,False
10576,False
10577,False
10578,False
10579,False
10580,False
10581,False
10582,False
10583,False
10584,False
10585,False
10586,False
10587,False
10588,False
10589,False
10590,False
10591,False
10592,False
10593,False
10594,False
10595,False
10596,False
10597,False
10598,False
10599,False
10600,False
10601,False
10602,False
10603,False
10604,False
10605,False
10606,False
10607,False
10608,False
10609,False
10610,False
10611,False
10612,False
10613,False
